taxon_name,threatened,native,rl_cat,seedmass,dispersal_mode,dispersal_distance,germination_freq_mean,termvel_mean,most_frequent_seed_str,most_frequent_diaspore_type,most_frequent_seedbank_type,mean_seedbank_index
Abies alba,no,native,*,72.8666666666666,Anemochory,4,NA,NA,No appendages,germinule,NA,NA
Abutilon theophrasti,no,established non-native,nb,9.807,Local non-specific dispersal,2,98,NA,NA,NA,NA,NA
Acer campestre,no,native,*,73.6094274509803,Anemochory,4,NA,1.21,Flat appendages,generative dispersule,transient,0
Acer monspessulanum,no,native,*,38.5844,Anemochory,4,NA,NA,Flat appendages,generative dispersule,NA,NA
Acer negundo,no,established non-native,nb,35.3438888888889,Anemochory,4,NA,0.78,Flat appendages,generative dispersule,NA,NA
Acer opalus,no,native,R,97.72329545,Anemochory,4,NA,NA,NA,NA,NA,NA
Acer platanoides,no,native,*,122.626,Anemochory,4,NA,1.012,Flat appendages,generative dispersule,transient,0
Acer pseudoplatanus,no,native,*,105.918133332333,Anemochory,4,NA,0.99,Flat appendages,generative dispersule,transient,0
Achillea atrata,no,native,*,0.3408,Local non-specific dispersal,1,NA,0.92424,NA,NA,NA,NA
Achillea crithmifolia,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea macrophylla,no,native,R,0.348,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea millefolium,no,native,*,0.164496777777777,Local non-specific dispersal,2,100,1.4502857142857142,Flat appendages,generative dispersule,transient,0.06272401433691756
Achillea pannonica,no,native,V,0.14765,Local non-specific dispersal,2,NA,NA,NA,NA,transient,0
Achillea millefolium subsp. millefolium,no,native,*,NA,Local non-specific dispersal,NA,NA,NA,NA,NA,NA,NA
Achillea × roseoalba,yes,native,2,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achillea nobilis,no,native,V,0.115266666666666,Local non-specific dispersal,2,NA,1.1353,NA,NA,transient,0
Achillea ptarmica,no,native,*,0.296383333333333,Local non-specific dispersal,2,100,1.9077272727272727,Flat appendages,generative dispersule,transient,0.0196078431372549
Achillea salicifolia,no,native,*,0.241666666666667,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Achnatherum calamagrostis,no,native,*,0.395,Local non-specific dispersal,2,86.66666666666667,1.03,NA,NA,NA,NA
Clinopodium alpinum,no,native,*,0.781333333333333,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Clinopodium acinos,no,native,V,0.624511111111111,Myrmecochory,3,100,NA,NA,NA,NA,NA
Aconitum lycoctonum,no,native,*,3.57241666666666,Local non-specific dispersal,2,77.5,NA,No appendages,generative dispersule,transient,0
Aconitum napellus,no,native,*,3.415,Local non-specific dispersal,2,97,3.33,Flat appendages,generative dispersule,NA,NA
Aconitum plicatum,no,native,R,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum tauricum,no,native,R,2.556,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum degenii,no,native,*,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Aconitum pilipes,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aconitum variegatum,no,native,V,0.8981,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Koenigia polystachya,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Acorus calamus,no,established non-native,nb,2.61925,Hydrochory,NA,NA,2.440909090909091,NA,NA,transient,0
Leuzea repens,no,established non-native,nb,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Actaea spicata,no,native,*,108.8484,Endozoochory,6,96,NA,No appendages,generative dispersule,transient,0
Adenophora liliifolia,yes,native,1,0.362983333333333,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Adenostyles alliariae,no,native,*,1.0841,Anemochory,5,NA,0.73,Elongated appendages,generative dispersule,NA,NA
Adenostyles alpina,no,native,*,1.349675,Anemochory,5,NA,NA,NA,NA,NA,NA
Adonis aestivalis,yes,native,2,10.1406666666666,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Adonis flammea,yes,native,1,6.89,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,NA,NA
Adonis vernalis,yes,native,3,10.6473333333333,Local non-specific dispersal,1,NA,1.6,Elongated appendages,generative dispersule,transient,0
Adoxa moschatellina,no,native,*,38.2096666666666,Endozoochory,6,NA,NA,No appendages,germinule,transient,0
Aegopodium podagraria,no,native,*,2.12286666666666,Local non-specific dispersal,2,60,3.7,No appendages,generative dispersule,transient,0.18571428571428572
Aethionema saxatile,yes,native,1,0.5931,Local non-specific dispersal,1,NA,3.098181818181818,Flat appendages,generative dispersule,NA,NA
Aethusa cynapium,no,native,*,1.45201783333333,Local non-specific dispersal,2,89,2.8154545454545454,No appendages,generative dispersule,short-term persistent,0.5857142857142857
Agrimonia eupatoria,no,native,*,15.0787308833333,Epizoochory,6,90,4.0581818181818186,Elongated appendages,generative dispersule,transient,0.009433962264150943
Agrimonia procera,no,native,*,26.39005,Epizoochory,6,NA,3.3445454545454547,Elongated appendages,generative dispersule,NA,NA
Agrostemma githago,yes,native,2,12.6999583333333,Local non-specific dispersal,2,96,4.348888888888889,Elongated appendages,generative dispersule,transient,0.125
Alpagrostis alpina,no,native,*,0.164,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alpagrostis schleicheri,no,native,*,0.154266666666666,Local non-specific dispersal,1,NA,NA,Elongated appendages,generative dispersule,NA,NA
Agrostis canina,no,native,*,0.0560761904761905,Local non-specific dispersal,2,80,NA,Elongated appendages,generative dispersule,short-term persistent,0.33636363636363636
Agrostis vinealis,no,native,V,0.0711033332999999,Local non-specific dispersal,2,87,1.59,Balloon structures,generative dispersule,transient,0.20588235294117646
Agrostis capillaris,no,native,*,0.06955,Local non-specific dispersal,2,97,1.1675,Balloon structures,generative dispersule,transient,0.3148148148148148
Agrostis castellana,no,established non-native,nb,0.13,Local non-specific dispersal,2,100,NA,NA,NA,short-term persistent,0.5
Agrostis rupestris,no,native,*,0.112,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Agrostis scabra,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis schraderiana,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Agrostis gigantea,no,native,*,0.0799714285714285,Local non-specific dispersal,2,100,1.86,Balloon structures,generative dispersule,short-term persistent,0.2826086956521739
Agrostis stolonifera,no,native,*,0.0588875,Local non-specific dispersal,2,100,1.261891891891892,Balloon structures,generative dispersule,transient,0.22857142857142856
Ailanthus altissima,no,established non-native,nb,29.218889,Anemochory,4,NA,0.56,Flat appendages,generative dispersule,short-term persistent,0.5
Aira caryophyllea,no,native,V,0.119,Local non-specific dispersal,1,100,1.7,Elongated appendages,generative dispersule,NA,NA
Aira praecox,no,native,V,0.15925,Local non-specific dispersal,1,100,1.6858333333333333,Elongated appendages,generative dispersule,short-term persistent,0.3
Ajuga chamaepitys,yes,native,2,1.53866666666666,Myrmecochory,3,82,NA,No appendages,generative dispersule,NA,NA
Ajuga genevensis,no,native,V,1.55706666666666,Myrmecochory,3,NA,NA,No appendages,generative dispersule,transient,0.3888888888888889
Ajuga pyramidalis,no,native,*,1.60706666666666,Myrmecochory,3,NA,NA,No appendages,generative dispersule,long-term persistent,1
Ajuga reptans,no,native,*,1.33839666666666,Myrmecochory,3,80,NA,No appendages,generative dispersule,transient,0.3465346534653465
Alchemilla alpina,no,native,R,0.406105555555555,Local non-specific dispersal,1,NA,1.72,No appendages,generative dispersule,transient,0
Alchemilla alpigena,no,native,*,0.5076,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla hoppeana,no,native,*,0.581,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla nitida,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla pallens,no,native,*,0.8,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla baltica,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla fallax,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla fissa,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla incisa,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla othmarii,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla sericoneura,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla colorata,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla exigua,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla flabellata,no,native,*,0.7015,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla glaucescens,yes,native,3,0.458955555555555,Local non-specific dispersal,1,NA,NA,NA,NA,long-term persistent,1
Alchemilla plicata,yes,native,3,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla mollis,no,established non-native,nb,0.199,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Alchemilla splendens,no,native,R,NA,Local non-specific dispersal,NA,NA,NA,NA,NA,NA,NA
Alchemilla aggregata,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla carniolica,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla compta,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla connivens,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla coriacea,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla crinita,no,native,*,0.4792,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla cymatophylla,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla decumbens,no,native,*,0.52,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla effusa,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla filicaulis,no,native,V,0.508875,Local non-specific dispersal,1,NA,NA,NA,NA,transient,0
Alchemilla frigens,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla glabra,no,native,*,0.478816666666666,Local non-specific dispersal,1,94,2.52,NA,NA,NA,NA
Alchemilla glomerulans,yes,native,2,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla hirtipes,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla impexa,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla lineata,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla longituba,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla lunaria,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla micans,no,native,*,0.576,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla monticola,no,native,*,0.595,Local non-specific dispersal,1,NA,1.77,NA,NA,NA,NA
Alchemilla obscura,no,native,R,NA,Local non-specific dispersal,NA,NA,NA,NA,NA,NA,NA
Alchemilla obtusa,yes,native,2,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla propinqua,yes,native,3,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla racemulosa,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla reniformis,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla rubristipula,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla semisecta,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla straminea,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla subcrenata,no,native,*,0.687,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Alchemilla subglobosa,yes,native,3,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla tenuis,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla tirolensis,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla undulata,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla versipila,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alchemilla vulgaris,no,native,*,0.3712,Local non-specific dispersal,2,71,NA,NA,NA,NA,NA
Alchemilla xanthochlora,no,native,*,0.459333333333333,Local non-specific dispersal,2,82,2.5454545454545454,Balloon structures,generative dispersule,NA,NA
Aldrovanda vesiculosa,yes,native,0,NA,Epizoochory,6,NA,NA,NA,NA,NA,NA
Alisma gramineum,yes,native,3,0.41325,Local non-specific dispersal,2,60,1.98,Elongated appendages,generative dispersule,NA,NA
Alisma lanceolatum,no,native,*,0.42815,Local non-specific dispersal,2,NA,1.6081818181818182,Other specialisation,generative dispersule,NA,NA
Alisma plantago-aquatica,no,native,*,0.350141666666666,Local non-specific dispersal,2,NA,1.695,No appendages,generative dispersule,short-term persistent,0.5789473684210527
Alliaria petiolata,no,native,*,2.57695233333333,Local non-specific dispersal,2,89.4,4.25,No appendages,generative dispersule,transient,0.21875
Allium angulosum,yes,native,3,1.85294999999999,Local non-specific dispersal,2,NA,NA,No appendages,generative dispersule,transient,0.08064516129032258
Allium atropurpureum,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Allium carinatum,yes,native,3,1.86492592583333,Local non-specific dispersal,2,NA,NA,No appendages,generative dispersule,NA,NA
Allium coloratum,yes,native,1,NA,NA,NA,100,NA,NA,NA,NA,NA
Allium lusitanicum,yes,native,3,2.47349999999999,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Allium oleraceum,no,native,*,6.63655555583333,Local non-specific dispersal,2,NA,4.14,No appendages,generative dispersule,transient,0
Allium paradoxum,no,established non-native,nb,71.389,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Allium rotundum,yes,native,3,1.3412,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Allium sativum,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,No appendages,vegetative dispersule,transient,0
Allium schoenoprasum,no,native,V,0.89867619047619,Local non-specific dispersal,2,95,3.0309090909090908,No appendages,generative dispersule,NA,NA
Allium scorodoprasum,no,native,*,15.2111,Local non-specific dispersal,2,NA,NA,No appendages,generative dispersule,transient,0
Allium sphaerocephalon,yes,native,3,1.53248308888889,Local non-specific dispersal,2,100,3.52,No appendages,generative dispersule,transient,0
Allium strictum,yes,native,2,0.738,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Allium suaveolens,yes,native,3,1.9704,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,transient,0
Allium ursinum,no,native,*,6.042711,Myrmecochory,3,NA,4.615,No appendages,generative dispersule,transient,0
Allium victorialis,no,native,*,6.43178095233333,Myrmecochory,3,NA,NA,No appendages,generative dispersule,NA,NA
Allium vineale,no,native,*,5.20955566666666,Myrmecochory,3,80,4.66,No appendages,generative dispersule,transient,0.057692307692307696
Alnus alnobetula,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus glutinosa,no,native,*,2.19636666666666,Dyszoochory,6,90,2.43,Elongated appendages,generative dispersule,transient,0.29411764705882354
Alnus incana,no,native,*,0.6814,Dyszoochory,6,98,NA,Flat appendages,generative dispersule,long-term persistent,0.5
Alopecurus aequalis,no,native,*,0.198049999999999,Local non-specific dispersal,1,NA,1.3618181818181818,Balloon structures,generative dispersule,short-term persistent,0.4166666666666667
Alopecurus arundinaceus,yes,native,2,0.464045,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Alopecurus bulbosus,yes,native,2,0.4584,Local non-specific dispersal,2,95,NA,Balloon structures,generative dispersule,NA,NA
Alopecurus geniculatus,no,native,*,0.312471428571428,Local non-specific dispersal,2,93,1.2251,Elongated appendages,generative dispersule,short-term persistent,0.4714285714285714
Alopecurus myosuroides,no,native,*,2.08242539680952,Local non-specific dispersal,2,76,NA,Elongated appendages,generative dispersule,short-term persistent,0.4166666666666667
Alopecurus pratensis,no,native,*,0.779,Local non-specific dispersal,2,100,2.1816666666666666,Elongated appendages,generative dispersule,transient,0.051643192488262914
Alopecurus rendlei,yes,native,1,2.6628,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Malva setigera,yes,native,3,2.92645714285714,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Althaea officinalis,yes,native,3,4.9235,Local non-specific dispersal,2,91,3.6036363636363635,No appendages,generative dispersule,NA,NA
Alyssum alyssoides,yes,native,3,0.591904761904761,Local non-specific dispersal,1,100,2.1442,Elongated appendages,generative dispersule,transient,0
Alyssum montanum,yes,native,3,0.7182,Local non-specific dispersal,1,NA,NA,Flat appendages,generative dispersule,transient,0
Amaranthus albus,no,established non-native,nb,0.3237,Local non-specific dispersal,2,100,NA,No appendages,germinule,long-term persistent,0.75
Amaranthus blitoides,no,established non-native,nb,1.08323333333333,Local non-specific dispersal,2,89,NA,NA,NA,NA,NA
Amaranthus blitum,yes,native,3,0.457016666666666,Local non-specific dispersal,2,96.875,NA,NA,NA,NA,NA
Amaranthus blitum subsp. emarginatus,no,established non-native,nb,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Amaranthus deflexus,no,established non-native,nb,0.4,Local non-specific dispersal,2,100,NA,No appendages,germinule,NA,NA
Amaranthus graecizans,no,established non-native,nb,0.706933333333333,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Amaranthus hybridus subsp. hybridus,no,established non-native,nb,0.4,Local non-specific dispersal,2,88.54545454545455,NA,NA,NA,NA,NA
Amaranthus hybridus,no,established non-native,nb,0.520738111111111,Local non-specific dispersal,2,98.25,NA,NA,NA,short-term persistent,0.25
Amaranthus powellii,no,established non-native,nb,0.41,Local non-specific dispersal,2,100,NA,Balloon structures,generative dispersule,NA,NA
Amaranthus retroflexus,no,established non-native,nb,0.420888888888889,Local non-specific dispersal,2,98.66666666666667,3.1645454545454546,No appendages,generative dispersule,long-term persistent,0.6666666666666666
Ambrosia artemisiifolia,no,established non-native,nb,4.213,Anemochory,5,NA,NA,Elongated appendages,generative dispersule,transient,0.4666666666666667
Ambrosia psilostachya,no,established non-native,nb,6.604,Anemochory,5,NA,NA,NA,NA,NA,NA
Ambrosia trifida,no,established non-native,nb,14.062,Anemochory,5,NA,NA,Elongated appendages,generative dispersule,NA,NA
Amelanchier alnifolia,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier × lamarckii,no,established non-native,nb,3.89,Endozoochory,6,NA,NA,NA,NA,transient,0
Amelanchier ovalis subsp. ovalis,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier canadensis,no,established non-native,nb,56.165,Endozoochory,6,NA,NA,NA,NA,NA,NA
Calamagrostis arenaria,no,native,*,3.1872,Local non-specific dispersal,2,NA,3.58,Balloon structures,generative dispersule,transient,0.041666666666666664
Lysimachia arvensis,no,native,*,0.485186666666666,Local non-specific dispersal,1,90.5,NA,No appendages,generative dispersule,long-term persistent,0.6212121212121212
Lysimachia foemina,yes,native,3,0.5231,Local non-specific dispersal,1,95,NA,NA,NA,NA,NA
Lysimachia minima,yes,native,2,0.03915,Local non-specific dispersal,1,NA,1.3227272727272728,NA,NA,long-term persistent,0.5
Lysimachia tenella,yes,native,2,0.105083333333333,Local non-specific dispersal,1,85,1.9781818181818183,NA,NA,long-term persistent,0.6666666666666666
Anarrhinum bellidifolium,yes,native,2,0.031,Local non-specific dispersal,2,96.5,NA,NA,NA,NA,NA
Anchusa arvensis,no,native,*,5.41483333333333,Myrmecochory,3,100,NA,NA,NA,NA,NA
Anchusa officinalis,no,native,V,4.906,Myrmecochory,3,NA,3.4054545454545453,No appendages,generative dispersule,short-term persistent,0.3333333333333333
Andromeda polifolia,yes,native,3,0.187825,Local non-specific dispersal,1,84.5,1.9363636363636363,No appendages,generative dispersule,short-term persistent,0.25
Androsace chamaejasme,no,native,*,0.5183665,Local non-specific dispersal,1,NA,NA,NA,NA,long-term persistent,0.5
Androsace elongata,yes,native,1,0.3671,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,transient,0
Androsace hausmannii,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Androsace helvetica,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Androsace lactea,yes,native,3,1.0392,Local non-specific dispersal,1,NA,1.65,No appendages,generative dispersule,NA,NA
Androsace maxima,yes,native,0,1.28288888888889,Local non-specific dispersal,1,90,NA,No appendages,generative dispersule,NA,NA
Androsace obtusifolia,yes,native,1,0.702333333333333,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Androsace septentrionalis,yes,native,1,0.236475,Local non-specific dispersal,1,100,1.9949,No appendages,generative dispersule,short-term persistent,0.36666666666666664
Anemonastrum narcissiflorum,yes,native,3,7.52185696033333,Anemochory,5,NA,NA,NA,NA,NA,NA
Anemonoides baldensis,no,native,R,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Anemonoides nemorosa,no,native,*,2.94813333333333,Myrmecochory,3,NA,2.668461538461538,Elongated appendages,generative dispersule,transient,0.011363636363636364
Anemonoides ranunculoides,no,native,*,2.01458333333333,Myrmecochory,3,NA,3.3116666666666665,Elongated appendages,generative dispersule,transient,0
Anemonoides sylvestris,yes,native,3,0.555,Anemochory,5,NA,NA,Elongated appendages,generative dispersule,transient,0
Angelica archangelica,no,native,*,4.29420833333333,Local non-specific dispersal,2,84,2.1418181818181816,Flat appendages,generative dispersule,NA,NA
Ostericum palustre,yes,native,2,NA,Local non-specific dispersal,2,NA,NA,Flat appendages,generative dispersule,NA,NA
Angelica sylvestris,no,native,*,2.16551851851851,Local non-specific dispersal,2,76,1.8018181818181818,Flat appendages,generative dispersule,transient,0.06756756756756757
Antennaria carpatica,yes,native,3,0.0919,Anemochory,5,NA,0.21,NA,NA,transient,0
Antennaria dioica,yes,native,3,0.0545,Anemochory,5,NA,0.17,NA,NA,transient,0
Anthemis arvensis,no,native,V,0.7880685,Local non-specific dispersal,2,87,NA,No appendages,generative dispersule,short-term persistent,0.3
Cota austriaca,no,native,V,0.4274,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Anthemis cotula,no,native,V,0.4421,Local non-specific dispersal,1,92.5,NA,Flat appendages,generative dispersule,long-term persistent,0.5
Anthemis ruthenica,no,established non-native,nb,0.365249999999999,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,short-term persistent,0.5
Cota tinctoria,no,native,*,0.4201,Myrmecochory,3,82,NA,NA,NA,NA,NA
Anthericum liliago,no,native,V,6.43725,Endozoochory,6,100,3.902727272727273,No appendages,generative dispersule,NA,NA
Anthericum ramosum,no,native,V,4.56588899999999,Endozoochory,6,87.5,3.98,No appendages,generative dispersule,transient,0
Anthoxanthum aristatum,no,established non-native,nb,0.304603333333333,Local non-specific dispersal,1,NA,NA,Elongated appendages,generative dispersule,NA,NA
Anthoxanthum nipponicum,no,native,*,0.511253846153846,Local non-specific dispersal,1,NA,1.4271,Elongated appendages,generative dispersule,NA,NA
Anthoxanthum odoratum,no,native,*,0.611383333333333,Local non-specific dispersal,2,96.5,2.5654166666666667,Elongated appendages,generative dispersule,transient,0.15198237885462554
Anthriscus caucalis,no,native,*,1.61826666666666,Local non-specific dispersal,2,100,NA,NA,NA,transient,0.25
Anthriscus cerefolium,no,native,*,2.26606666666666,Local non-specific dispersal,2,NA,NA,No appendages,generative dispersule,NA,NA
Anthriscus sylvestris,no,native,*,3.87896322222222,Local non-specific dispersal,2,94.5,3.6827272727272726,No appendages,generative dispersule,transient,0.05844155844155844
Anthyllis vulneraria,no,native,*,3.82997010416666,Local non-specific dispersal,1,100,3.8066666666666666,No appendages,generative dispersule,transient,0.07142857142857142
Apera interrupta,no,established non-native,nb,0.128933333333333,Local non-specific dispersal,1,NA,NA,Balloon structures,generative dispersule,NA,NA
Apera spica-venti,no,native,*,0.115999999999999,Local non-specific dispersal,2,NA,1.3276923076923077,Elongated appendages,generative dispersule,transient,0.36046511627906974
Alchemilla arvensis,no,native,*,0.299053333333333,Local non-specific dispersal,1,100,2.15,NA,NA,long-term persistent,0.640625
Apium graveolens,yes,native,3,0.400990476190476,Local non-specific dispersal,2,91.5,2.7772727272727273,Flat appendages,generative dispersule,long-term persistent,1
Aposeris foetida,no,native,*,2.33333333333333,Myrmecochory,3,NA,3.35,No appendages,generative dispersule,NA,NA
Aquilegia einseleana,no,native,R,0.892833333333333,Local non-specific dispersal,1,74,3.15,NA,NA,NA,NA
Aquilegia atrata,no,native,*,1.325,Local non-specific dispersal,2,82,3.78,Flat appendages,generative dispersule,NA,NA
Aquilegia vulgaris,no,native,V,1.44887222222222,Local non-specific dispersal,2,85.86666666666666,3.5321739130434784,No appendages,generative dispersule,transient,0
Arabidopsis arenosa,no,native,*,0.1062,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Arabidopsis halleri,no,native,*,0.170622222166666,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Arabidopsis lyrata,yes,native,2,NA,NA,NA,90,NA,NA,NA,NA,NA
Arabidopsis thaliana,no,native,*,0.0217376666666666,Local non-specific dispersal,1,82,1.15,No appendages,generative dispersule,short-term persistent,0.410958904109589
Arabis alpina,no,native,*,0.271075,Local non-specific dispersal,1,NA,2.1,Flat appendages,generative dispersule,transient,0
Arabis caucasica,no,established non-native,nb,NA,Local non-specific dispersal,1,84,NA,NA,NA,NA,NA
Arabis auriculata,yes,native,2,0.0481,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Arabis pumila,no,native,*,0.208399999999999,Local non-specific dispersal,1,NA,1.0345454545454547,Flat appendages,generative dispersule,NA,NA
Arabis stellulata,no,native,*,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Arabis caerulea,no,native,*,0.231366666666666,Local non-specific dispersal,1,NA,NA,Flat appendages,generative dispersule,NA,NA
Arabis ciliata,no,native,*,0.266,Local non-specific dispersal,1,NA,NA,No appendages,generative dispersule,NA,NA
Arabis collina,no,established non-native,nb,0.374,Local non-specific dispersal,1,NA,NA,Flat appendages,generative dispersule,NA,NA
Arabis hirsuta,no,native,V,0.117394564102564,Local non-specific dispersal,2,100,1.6946153846153846,Flat appendages,generative dispersule,short-term persistent,0.4523809523809524
Arabis planisiliqua,yes,native,2,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Arabis sagittata,yes,native,3,0.1,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Arabis soyeri,no,native,*,0.27879175,Local non-specific dispersal,1,NA,1.095,NA,NA,NA,NA
Arctium lappa,no,native,*,12.16455,Epizoochory,6,100,4.176363636363636,No appendages,germinule,long-term persistent,0.75
Arctium minus,no,native,*,10.467019047619,Epizoochory,6,100,3.439090909090909,No appendages,germinule,long-term persistent,0.5
Arctium nemorosum,no,native,*,203.612666666666,Epizoochory,6,100,NA,No appendages,germinule,NA,NA
Arctium tomentosum,no,native,*,11.8269,Epizoochory,6,NA,NA,No appendages,germinule,transient,0
Arctostaphylos uva-ursi,yes,native,2,48.133675,Endozoochory,6,NA,NA,NA,NA,transient,0
