taxon_name,threatened,native,rl_cat,seedmass,dispersal_mode,dispersal_distance,germination_freq_mean,termvel_mean,most_frequent_seed_str,most_frequent_diaspore_type,most_frequent_seedbank_type,mean_seedbank_index
Myriophyllum alterniflorum,yes,native,2,0.6148,Epizoochory,6,100,NA,NA,NA,NA,NA
Myriophyllum heterophyllum,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriophyllum spicatum,no,native,*,1.20374999999999,Epizoochory,6,100,NA,NA,NA,transient,0
Myriophyllum verticillatum,no,native,*,1.506,Epizoochory,6,NA,NA,NA,NA,NA,NA
Myrrhis odorata,no,native,R,40.5545166666666,Local non-specific dispersal,2,42,3.91,No appendages,generative dispersule,long-term persistent,0.625
Najas flexilis,yes,native,0,0.9745,Epizoochory,6,NA,NA,NA,NA,transient,0.4
Najas marina,no,native,*,3.41661990454545,Epizoochory,6,NA,NA,NA,NA,NA,NA
Najas minor,yes,native,3,NA,Epizoochory,6,NA,NA,NA,NA,NA,NA
Narcissus poeticus,no,established non-native,*,6.194,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Narcissus poeticus subsp. radiiflorus,yes,native,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narcissus pseudonarcissus,yes,native,3,7.21569444444444,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Nardus stricta,no,native,V,0.464447916666666,Local non-specific dispersal,1,100,2.68,Elongated appendages,generative dispersule,transient,0.08888888888888889
Narthecium ossifragum,yes,native,3,0.0937657142857143,Local non-specific dispersal,1,92,0.583030303030303,Flat appendages,generative dispersule,transient,0.1
Nasturtium microphyllum,no,native,*,0.13,Local non-specific dispersal,2,85,1.93,No appendages,generative dispersule,short-term persistent,0.5
Nasturtium officinale,no,native,*,0.193833333333333,Local non-specific dispersal,2,96.5,2.53,No appendages,generative dispersule,short-term persistent,0.5
Nasturtium × sterile,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Neottia nidus-avis,no,native,*,0.00566666666666666,Anemochory,3,90,0.25,Balloon structures,generative dispersule,NA,NA
Nepeta cataria,yes,native,3,0.543226666666666,Local non-specific dispersal,2,67,3.75,No appendages,generative dispersule,NA,NA
Nepeta grandiflora,no,established non-native,nb,0.808,Local non-specific dispersal,2,NA,NA,No appendages,generative dispersule,NA,NA
Nepeta nuda,yes,native,2,0.7282,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Neslia paniculata,yes,native,3,3.10275,Local non-specific dispersal,2,NA,NA,Elongated appendages,generative dispersule,long-term persistent,0.75
Nicandra physalodes,no,established non-native,nb,1.0854,Local non-specific dispersal,2,97.8,NA,No appendages,germinule,NA,NA
Nigella arvensis,yes,native,1,1.36653333333333,Local non-specific dispersal,1,97,NA,Flat appendages,generative dispersule,NA,NA
Gymnadenia dolomitensis,no,native,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnadenia miniata,yes,native,2,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Gymnadenia rhellicani,no,native,*,0.003404,Anemochory,5,NA,NA,NA,NA,NA,NA
Gymnadenia widderi,yes,native,2,NA,Anemochory,5,NA,NA,NA,NA,NA,NA
Noccaea caerulescens,no,native,V,0.556230555555555,Local non-specific dispersal,1,89,NA,NA,NA,NA,NA
Noccaea montana,yes,native,3,0.584116666666666,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Noccaea rotundifolia,no,native,*,NA,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Nonea pulla subsp. pulla,yes,native,3,NA,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Nonea versicolor,no,established non-native,nb,NA,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Nuphar lutea,no,native,*,28.7615555555555,Hydrochory,NA,NA,NA,No appendages,generative dispersule,transient,0
Nuphar pumila,yes,native,1,15.696,Hydrochory,NA,NA,NA,NA,NA,NA,NA
Nuphar × spenneriana,no,native,R,NA,Hydrochory,NA,NA,NA,NA,NA,NA,NA
Nymphaea alba,no,native,*,4.10336363636363,Hydrochory,NA,NA,NA,No appendages,generative dispersule,transient,0
Nymphaea candida,yes,native,2,9.678,Hydrochory,NA,NA,NA,NA,NA,NA,NA
Nymphoides peltata,yes,native,3,2.03034444444444,Hydrochory,NA,NA,NA,NA,NA,short-term persistent,0.5
Odontites luteus,yes,native,3,0.219433333333333,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Odontites litoralis,yes,native,2,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Odontites vernus,yes,native,3,0.206942857142857,Local non-specific dispersal,1,100,NA,NA,NA,NA,NA
Odontites vulgaris,no,native,*,0.252,Local non-specific dispersal,1,NA,NA,NA,NA,NA,NA
Oenanthe aquatica,no,native,*,2.51595,Local non-specific dispersal,2,100,3.9154545454545455,No appendages,generative dispersule,transient,0
Oenanthe fluviatilis,yes,native,1,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Oenanthe crocata,no,native,R,3.2034,Local non-specific dispersal,2,96,NA,NA,NA,NA,NA
Oenanthe fistulosa,yes,native,3,3.21795714285714,Local non-specific dispersal,2,50,3.4118181818181816,Elongated appendages,generative dispersule,transient,0
Oenanthe lachenalii,yes,native,3,1.15442857142857,Local non-specific dispersal,2,NA,2.8954545454545455,Elongated appendages,generative dispersule,NA,NA
Oenanthe peucedanifolia,yes,native,2,2.62493333333333,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Oenanthe silaifolia,yes,native,0,1.42666,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Oenothera acutifolia,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenothera × heiniana,no,established non-native,nb,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenothera parviflora,no,established non-native,nb,0.646333333333333,Local non-specific dispersal,2,100,2.629090909090909,No appendages,generative dispersule,short-term persistent,0.5
Oenothera × drawertii,no,established non-native,nb,NA,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Oenothera oakesiana,no,established non-native,nb,0.8,Local non-specific dispersal,2,84,NA,NA,NA,NA,NA
Oenothera villosa subsp. villosa,no,established non-native,nb,0.35,Local non-specific dispersal,2,NA,NA,NA,NA,NA,NA
Memoremea scorpioides,yes,native,2,NA,Myrmecochory,3,NA,NA,Flat appendages,germinule,NA,NA
Omphalodes verna,no,established non-native,nb,NA,Myrmecochory,3,NA,NA,NA,NA,NA,NA
Onobrychis arenaria,yes,native,3,12.7466,Local non-specific dispersal,2,100,NA,Balloon structures,generative dispersule,transient,0.25
Onobrychis montana,yes,native,2,15.6253777777777,Local non-specific dispersal,1,100,NA,Balloon structures,generative dispersule,NA,NA
Onobrychis viciifolia,no,established non-native,nb,19.2080723333333,Local non-specific dispersal,2,100,4.7875,No appendages,generative dispersule,transient,0
Ononis natrix,yes,native,0,3.2355,Local non-specific dispersal,2,93,NA,NA,NA,NA,NA
Ononis spinosa subsp. austriaca,yes,native,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ononis spinosa subsp. procurrens,no,native,*,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ononis spinosa,no,native,*,5.27442734,Local non-specific dispersal,2,91.66666666666667,3.61,No appendages,generative dispersule,transient,0
