"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998";"PlantGrowthForm"
"Erythronium albidum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium revolutum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium hendersonii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium dens-canis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium sibiricum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium americanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium caucasicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium oregonum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium citrinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium multiscapideum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Erythronium californicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eschscholzia californica";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eucomis comosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eucomis bicolor";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eucomis autumnalis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euonymus fortunei";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Eupatorium cannabinum";"s";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";NA
"Eupatorium album";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eupatorium sessilifolium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eupatorium altissimum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Eupatorium perfoliatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia lathyris";"v";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN";NA
"Euphorbia marginata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Euphorbia spinosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia acanthothamnos";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Euphorbia amygdaloides";"z";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*";NA
"Euphorbia characias";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia myrsinites";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia cyparissias";"z";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*";NA
"Euphorbia nicaeensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia seguieriana";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";NA
"Euphorbia capitulata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euphorbia palustris";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";NA
"Euphorbia epithymoides";"z";"ornamental";NA;"W";"yes";"native";"ex";NA;"0";"0";NA
"Euphorbia dulcis";"z";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*";NA
"Euphorbia verrucosa";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"V";"*";NA
"Euryops chrysanthemoides";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euryops acraeus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Euryops pectinatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fagopyrum esculentum";"s";NA;"crop";"W";"yes";NA;NA;NA;NA;NA;NA
"Fallopia baldschuanica";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Farfugium japonicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fargesia murielae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"graminoid"
"Fargesia nitida";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"graminoid"
"Felicia amelloides";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Felicia tenella";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Felicia amoena";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Felicia bergeriana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Festuca amethystina";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Festuca rubra";"v";NA;"crop";"W";"yes";"native";"sh";"=";"*";"*";NA
"Festuca valesiaca";NA;"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";NA
"Festuca gautieri";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Festuca filiformis";NA;"ornamental";"crop";"W";"yes";"native";"h";"<";"*";"*";NA
"Festuca calva";NA;"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA;NA
"Festuca glauca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fibigia clypeata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Filipendula vulgaris";"s";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"V";NA
"Filipendula rubra";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Filipendula ulmaria";"z";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";NA
"Filipendula camtschatica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Filipendula × purpurea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Foeniculum vulgare";"z";NA;"crop";NA;"yes";"established non-native";"nb";NA;"nb";"kN";NA
"Fragaria × ananassa";"v";"ornamental";"crop";NA;"yes";"established non-native";"nb";NA;"nb";"*";NA
"Fragaria virginiana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fragaria chiloensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fragaria moschata";"s";"ornamental";"crop";NA;"yes";"native";"mh";"<";"V";"*";NA
"Fragaria vesca";"z";NA;"crop";"W";"yes";"native";"sh";"=";"*";"*";NA
"Frankenia thymifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Frankenia laevis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Freesia corymbosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Freesia refracta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Freesia leichtlinii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria liliacea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria recurva";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria imperialis";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria bucharica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria stenanthera";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria pluriflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria alburyana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria aurea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria collina";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria pudica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria carica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria sibthorpiana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria pallidiflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria verticillata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria thunbergii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria affinis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria agrestis";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria biflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria persica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria sewerzowii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria minuta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria uva-vulpis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria bithynica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria caucasica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria elwesii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria assyriaca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria pinardii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria meleagris";"z";"ornamental";NA;"W";"yes";"established non-native";"s";"<";"3";"2";NA
"Fritillaria ruthenica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria orientalis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria michailovskyi";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria latifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria pontica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria davisii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria acmopetala";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria involucrata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria crassifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria graeca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fritillaria messanensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia procumbens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia splendens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia coccinea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia magellanica";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Fuchsia regia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia fulgens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia triphylla";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fuchsia boliviana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Fumana procumbens";"s";"ornamental";NA;"W";"yes";"native";"ss";"<";"2";"3";"shrub"
"Gaillardia suavis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gaillardia pulchella";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gaillardia aristata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gaillardia aestivalis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus nivalis";"v";"ornamental";NA;"W";"yes";"native";"s";"<";"V";"3";NA
"Galanthus platyphyllus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus krasnovii";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus lagodechianus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus rizehensis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus fosteri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus ikariae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus woronowii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus transcaucasicus";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus plicatus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus reginae-olgae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus peshmenii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus elwesii";"z";"ornamental";NA;NA;"yes";"established non-native";"nb";NA;"nb";"kN";NA
"Galanthus gracilis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus koenenianus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus cilicicus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus angustifolius";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galanthus alpinus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galax urceolata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galearis spectabilis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Galega officinalis";"s";"ornamental";"crop";"W";"yes";"established non-native";"nb";NA;"nb";"*";NA
"Galium odoratum";"z";"ornamental";NA;NA;"yes";"native";"h";"=";"*";"*";NA
"Gaultheria procumbens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Gaultheria mucronata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gaultheria shallon";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Gazania rigens";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gazania linearis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gazania krebsiana";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana ternifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana paradoxa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana ornata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana lawrencei";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana sino-ornata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana bavarica";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Gentiana verna";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";NA
"Gentiana brachyphylla";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Gentiana clusii";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"V";"3";NA
"Gentiana alpina";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana angustifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana decumbens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana acaulis";"s";"ornamental";NA;"W";"yes";"native";"ss";"<";"3";"3";NA
"Gentiana andrewsii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana septemfida";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana triflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana asclepiadea";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"3";NA
"Gentiana pneumonanthe";"s";"ornamental";NA;"W";"yes";"native";"s";"<<";"2";"3";NA
"Gentiana walujewii";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Gentiana cruciata";"z";"ornamental";NA;NA;"yes";"native";"s";"<<";"2";"3";NA
"Gentiana dahurica";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana siphonantha";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana tibetica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana macrophylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana lutea";"s";"ornamental";"crop";"W";"yes";"native";"s";"<";"3";"3";NA
"Gentiana purpurea";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"R";NA
"Gentiana burseri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gentiana pannonica";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"3";NA
"Gentiana punctata";"s";"ornamental";NA;NA;"yes";"native";"ss";"<";"3";"3";NA
"Geranium argenteum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium farreri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium pylzowianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium cinereum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium subcaulescens";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium sanguineum";"v";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"*";NA
"Geranium dalmaticum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium macrorrhizum";"z";"ornamental";"crop";NA;"yes";"established non-native";"nb";NA;"nb";"*";NA
"Geranium rivulare";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium endressii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium nodosum";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Geranium procurrens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium psilostemon";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium phaeum";"z";"ornamental";NA;"W";"yes";"native";"ss";"<";"3";"*";NA
"Geranium renardii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium platypetalum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium himalayense";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium pratense";"v";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"*";NA
"Geranium wallichianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium palustre";"z";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"*";NA
"Geranium wlassovianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geranium sylvaticum";"z";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*";NA
"Geranium maculatum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum rossii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum reptans";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"*";NA
"Geum triflorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum montanum";"z";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Geum bulgaricum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum rivale";"z";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"*";NA
"Geum coccineum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum japonicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Geum aleppicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gilia tricolor";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gilia capitata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gilia achilleifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gillenia stipulata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gillenia trifoliata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gladiolus italicus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gladiolus imbricatus";"s";"ornamental";NA;"W";"yes";"native";"es";"<<";"1";"2";NA
"Gladiolus communis";"v";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Gladiolus illyricus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Glaucium flavum";"s";"ornamental";NA;NA;"yes";"native";"es";"=";"R";"*";NA
"Glaucium squamigerum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Glaucium grandiflorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Glaucium corniculatum";"s";"ornamental";NA;"W";"yes";"native";"ss";"<";"2";"*";NA
"Glebionis segetum";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"V";NA
"Glebionis coronaria";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Glechoma hederacea";"z";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";NA
"Glechoma hirsuta";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Globularia cordifolia";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*";NA
"Globularia trichosantha";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Globularia nudicaulis";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Globularia bisnagarica";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";NA
"Glyceria maxima";"v";"ornamental";"crop";"W";"yes";"native";"h";"=";"*";"*";NA
"Glyceria fluitans";"v";NA;"crop";"W";"yes";"native";"sh";"=";"*";"*";NA
"Glycine max";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA;NA
"Glycyrrhiza glabra";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA;NA
"Gomphrena pulchella";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gomphrena globosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Goniolimon tataricum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Goodyera pubescens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Goodyera oblongifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Goodyera repens";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"V";NA
"Grindelia lanceolata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Grindelia hirsutula";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Grindelia squarrosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gunnera magellanica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gunnera manicata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gypsophila elegans";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gypsophila paniculata";"v";"ornamental";"crop";NA;"yes";"established non-native";"nb";NA;"nb";"*";NA
"Gypsophila aretioides";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gypsophila tenuifolia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Gypsophila repens";"z";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*";NA
"Gypsophila petraea";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Haberlea rhodopensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hablitzia tamnoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hakonechloa macra";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hedera helix";"v";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";"shrub"
"Hedera colchica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hedychium gardnerianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hedychium spicatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Hedysarum hedysaroides";"z";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";NA
"Heimia salicifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Helenium autumnale";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helenium bigelovii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthella quinquenervis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthemum apenninum";"z";"ornamental";NA;"W";"yes";"native";"ss";"<";"3";"3";NA
"Helianthemum nummularium";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"*";NA
"Helianthemum lunulatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthemum canum";"s";"ornamental";NA;"W";"yes";"native";"ss";"<";"3";"3";NA
"Helianthus annuus";"v";"ornamental";"crop";"W";"yes";NA;NA;NA;NA;NA;NA
"Helianthus argophyllus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus debilis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus salicifolius";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus × laetiflorus";"v";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN";NA
"Helianthus pauciflorus";"z";"ornamental";NA;NA;"yes";"established non-native";"nb";NA;"nb";"kN";NA
"Helianthus atrorubens";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus × doronicoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus tuberosus";"z";"ornamental";"crop";NA;"yes";"established non-native";"nb";NA;"nb";"*";NA
"Helianthus decapetalus";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helianthus giganteus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helichrysum petiolare";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helichrysum milfordiae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Helichrysum arenarium";"z";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3";NA
